,invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
108,I338966,C907582,Clothing,5,1500.4,21-09-2022,Mall of Istanbul
109,I293215,C166635,Cosmetics,4,162.64,12-12-2021,Istinye Park
110,I149688,C276043,Clothing,4,1200.32,21-08-2021,Zorlu Center
111,I109649,C282643,Food & Beverage,3,15.69,08-10-2021,Emaar Square Mall
112,I299820,C820515,Books,3,45.45,22-11-2021,Kanyon
113,I157775,C331761,Clothing,1,300.08,19-03-2022,Kanyon
114,I317140,C326893,Souvenir,5,58.65,19-10-2022,Istinye Park
115,I147334,C306395,Clothing,2,600.16,12-01-2022,Viaport Outlet
116,I278121,C885344,Toys,4,143.36,07-06-2021,Metrocity
117,I134452,C112750,Clothing,1,300.08,15-01-2023,Forum Istanbul
118,I320846,C274870,Clothing,4,1200.32,11-11-2021,Kanyon
119,I740676,C199864,Clothing,2,600.16,21-09-2022,Istinye Park
120,I142331,C997380,Cosmetics,4,162.64,30-05-2021,Metrocity
121,I222983,C132002,Clothing,1,300.08,23-12-2021,Metropol AVM
122,I164665,C255058,Technology,2,2100.0,30-04-2022,Kanyon
123,I133387,C271799,Toys,4,143.36,07-06-2021,Forum Istanbul
124,I276763,C765620,Toys,5,179.2,21-02-2022,Kanyon
125,I273890,C891545,Clothing,3,900.24,26-08-2021,Emaar Square Mall
126,I774221,C519513,Food & Beverage,5,26.15,15-12-2021,Metrocity
127,I202171,C125624,Clothing,1,300.08,20-02-2021,Mall of Istanbul
128,I219780,C658980,Clothing,2,600.16,08-10-2021,Kanyon
129,I160221,C319231,Clothing,3,900.24,01-08-2022,Mall of Istanbul
130,I106691,C150594,Clothing,4,1200.32,09-09-2021,Kanyon
131,I129886,C846730,Food & Beverage,5,26.15,25-10-2021,Metrocity
132,I745394,C249877,Food & Beverage,1,5.23,14-12-2021,Metropol AVM
133,I157056,C200826,Clothing,5,1500.4,20-06-2021,Kanyon
134,I304531,C263874,Clothing,1,300.08,07-04-2021,Metropol AVM
135,I762439,C663463,Books,4,60.6,05-12-2021,Metrocity
136,I300972,C134370,Cosmetics,1,40.66,25-05-2021,Zorlu Center
137,I151588,C310642,Books,3,45.45,12-04-2022,Metrocity
138,I657069,C651699,Clothing,4,1200.32,16-12-2021,Mall of Istanbul
139,I122655,C989693,Technology,2,2100.0,21-02-2021,Metropol AVM
140,I236914,C123581,Clothing,3,900.24,26-10-2021,Mall of Istanbul
141,I247471,C192446,Toys,1,35.84,18-12-2022,Mall of Istanbul
142,I362306,C143343,Clothing,1,300.08,19-09-2022,Metrocity
143,I215279,C223343,Clothing,2,600.16,01-02-2023,Kanyon
144,I216061,C309082,Food & Beverage,3,15.69,05-10-2022,Mall of Istanbul
145,I246375,C236365,Cosmetics,2,81.32,28-11-2021,Kanyon
146,I103596,C178734,Shoes,5,3000.85,03-08-2021,Kanyon
147,I259878,C223010,Clothing,4,1200.32,12-10-2022,Metropol AVM
148,I206422,C289933,Food & Beverage,2,10.46,28-09-2022,Kanyon
149,I201704,C340116,Food & Beverage,3,15.69,12-07-2021,Metrocity
150,I168037,C816586,Toys,4,143.36,03-07-2021,Mall of Istanbul
151,I307534,C434171,Cosmetics,4,162.64,26-03-2022,Viaport Outlet
152,I259196,C215384,Toys,4,143.36,17-05-2022,Cevahir AVM
153,I141241,C143442,Souvenir,5,58.65,11-04-2022,Kanyon
154,I289973,C102926,Food & Beverage,5,26.15,22-10-2021,Kanyon
155,I147203,C340063,Cosmetics,5,203.3,20-12-2021,Istinye Park
156,I323788,C131786,Clothing,1,300.08,17-03-2022,Metropol AVM
157,I285454,C194380,Souvenir,5,58.65,23-06-2022,Metropol AVM
158,I288152,C269623,Technology,3,3150.0,19-06-2021,Mall of Istanbul
159,I134126,C847171,Clothing,1,300.08,30-08-2022,Istinye Park
160,I311052,C556552,Clothing,4,1200.32,20-11-2021,Cevahir AVM
161,I176469,C876528,Food & Beverage,2,10.46,31-07-2021,Viaport Outlet
162,I167993,C303493,Toys,2,71.68,20-02-2022,Kanyon
163,I222086,C978718,Clothing,5,1500.4,09-02-2023,Emaar Square Mall
164,I164597,C111766,Clothing,1,300.08,24-03-2021,Mall of Istanbul
165,I184307,C175946,Food & Beverage,1,5.23,25-08-2022,Kanyon
166,I289905,C160005,Cosmetics,4,162.64,21-10-2021,Kanyon
167,I416544,C599109,Food & Beverage,2,10.46,28-05-2022,Metrocity
168,I601026,C693789,Souvenir,5,58.65,05-03-2022,Zorlu Center
169,I257890,C259342,Shoes,1,600.17,05-10-2021,Kanyon
170,I260028,C208108,Clothing,4,1200.32,16-04-2021,Metropol AVM
171,I170160,C244213,Toys,2,71.68,26-02-2023,Metrocity
172,I624164,C102685,Clothing,1,300.08,20-03-2021,Kanyon
173,I143353,C244291,Souvenir,5,58.65,15-05-2022,Metrocity
174,I278401,C162371,Toys,1,35.84,31-01-2023,Mall of Istanbul
175,I402966,C375422,Cosmetics,4,162.64,02-10-2021,Viaport Outlet
176,I244241,C911768,Clothing,5,1500.4,03-08-2022,Viaport Outlet
177,I179048,C270129,Technology,3,3150.0,28-03-2021,Cevahir AVM
178,I165202,C617189,Cosmetics,4,162.64,21-11-2022,Mall of Istanbul
179,I328321,C271029,Souvenir,2,23.46,12-02-2021,Metropol AVM
180,I417106,C292356,Clothing,3,900.24,03-04-2021,Cevahir AVM
181,I248153,C329633,Food & Beverage,1,5.23,03-07-2022,Metropol AVM
182,I112270,C244780,Food & Beverage,4,20.92,14-02-2021,Mall of Istanbul
183,I318831,C139568,Cosmetics,4,162.64,15-07-2022,Viaport Outlet
184,I258322,C220281,Clothing,4,1200.32,12-07-2021,Viaport Outlet
185,I334246,C311034,Cosmetics,3,121.98,19-05-2022,Mall of Istanbul
186,I198233,C584141,Cosmetics,4,162.64,13-02-2023,Metropol AVM
187,I310819,C221934,Cosmetics,5,203.3,27-11-2022,Forum Istanbul
188,I409288,C513561,Food & Beverage,3,15.69,02-03-2021,Viaport Outlet
189,I131054,C257990,Toys,4,143.36,16-10-2021,Kanyon
190,I149521,C168348,Clothing,2,600.16,04-11-2021,Kanyon
191,I156233,C161285,Clothing,1,300.08,11-01-2023,Mall of Istanbul
192,I295784,C166191,Cosmetics,3,121.98,08-06-2022,Forum Istanbul
193,I255381,C172966,Clothing,4,1200.32,24-05-2021,Metrocity
194,I337719,C320928,Cosmetics,5,203.3,18-01-2021,Istinye Park
195,I220863,C131497,Books,4,60.6,22-07-2021,Mall of Istanbul
196,I530401,C526660,Technology,2,2100.0,25-09-2022,Zorlu Center
197,I219555,C266961,Clothing,3,900.24,10-09-2021,Metrocity
198,I316629,C204741,Souvenir,3,35.19,16-01-2022,Cevahir AVM
199,I795251,C181619,Cosmetics,5,203.3,13-11-2022,Kanyon
200,I151099,C250395,Souvenir,2,23.46,14-03-2021,Mall of Istanbul
201,I286193,C322994,Cosmetics,3,121.98,23-07-2022,Istinye Park
202,I399563,C250673,Toys,1,35.84,24-06-2021,Metropol AVM
203,I229355,C192978,Shoes,5,3000.85,30-01-2021,Kanyon
204,I147727,C163033,Books,1,15.15,17-04-2022,Kanyon
205,I504141,C558480,Cosmetics,1,40.66,23-02-2023,Kanyon
206,I246151,C287409,Books,3,45.45,05-07-2021,Metropol AVM
207,I164675,C993675,Books,5,75.75,31-08-2021,Kanyon
208,I606511,C307535,Souvenir,2,23.46,09-09-2022,Viaport Outlet
209,I342816,C238961,Food & Beverage,2,10.46,04-11-2021,Mall of Istanbul
210,I151764,C671866,Clothing,5,1500.4,30-06-2022,Kanyon
211,I226172,C171154,Shoes,1,600.17,24-07-2021,Kanyon
212,I737630,C848969,Clothing,5,1500.4,15-04-2022,Metropol AVM
213,I891311,C240171,Food & Beverage,2,10.46,25-09-2021,Metropol AVM
214,I127733,C665777,Books,5,75.75,24-08-2021,Kanyon
215,I202398,C256730,Shoes,5,3000.85,26-01-2021,Zorlu Center
216,I160585,C298229,Cosmetics,2,81.32,05-02-2022,Metropol AVM
217,I771414,C183404,Food & Beverage,3,15.69,09-12-2022,Forum Istanbul
218,I139520,C316398,Clothing,5,1500.4,14-02-2021,Mall of Istanbul
219,I291540,C557245,Food & Beverage,1,5.23,17-07-2022,Kanyon
220,I798213,C662958,Shoes,3,1800.51,03-01-2021,Metropol AVM
221,I232338,C545065,Clothing,4,1200.32,22-09-2022,Metropol AVM
222,I267713,C284679,Cosmetics,4,162.64,27-06-2021,Kanyon
223,I525798,C581947,Cosmetics,4,162.64,03-02-2023,Mall of Istanbul
224,I353272,C199311,Clothing,1,300.08,29-07-2021,Istinye Park
225,I165687,C206501,Clothing,3,900.24,08-12-2022,Metropol AVM
226,I169015,C726021,Clothing,5,1500.4,11-08-2022,Mall of Istanbul
227,I111305,C448846,Food & Beverage,3,15.69,13-09-2021,Metropol AVM
228,I187171,C168663,Toys,4,143.36,27-05-2022,Istinye Park
229,I148276,C616106,Clothing,4,1200.32,07-12-2022,Zorlu Center
230,I783231,C771066,Clothing,5,1500.4,05-01-2022,Cevahir AVM
231,I313426,C101196,Cosmetics,4,162.64,05-04-2022,Kanyon
232,I112291,C898405,Food & Beverage,1,5.23,10-01-2022,Cevahir AVM
233,I402983,C372643,Technology,1,1050.0,30-01-2022,Kanyon
234,I155076,C195626,Toys,5,179.2,21-12-2022,Kanyon
235,I204056,C622748,Clothing,4,1200.32,24-02-2021,Metropol AVM
236,I218385,C290280,Toys,1,35.84,19-07-2022,Metrocity
237,I198698,C281268,Clothing,1,300.08,15-01-2023,Metropol AVM
238,I428118,C826744,Shoes,2,1200.34,12-01-2023,Kanyon
239,I204147,C252021,Shoes,3,1800.51,05-11-2022,Kanyon
240,I361028,C647656,Shoes,2,1200.34,23-07-2021,Metrocity
241,I915945,C250065,Clothing,4,1200.32,30-06-2022,Metropol AVM
242,I165461,C230766,Clothing,1,300.08,01-11-2022,Emaar Square Mall
243,I762381,C243515,Shoes,1,600.17,27-10-2022,Kanyon
244,I818298,C204632,Clothing,5,1500.4,21-08-2022,Kanyon
245,I261290,C252598,Clothing,3,900.24,13-03-2021,Cevahir AVM
246,I215578,C866033,Cosmetics,2,81.32,04-08-2022,Kanyon
247,I136666,C288416,Food & Beverage,2,10.46,01-04-2021,Mall of Istanbul
248,I120948,C340089,Shoes,4,2400.68,08-08-2021,Mall of Istanbul
249,I173679,C555040,Technology,3,3150.0,28-06-2021,Viaport Outlet
250,I638275,C809281,Clothing,5,1500.4,25-01-2021,Emaar Square Mall
251,I551237,C375325,Clothing,4,1200.32,22-11-2021,Metropol AVM
252,I239285,C155335,Cosmetics,3,121.98,13-11-2022,Viaport Outlet
253,I723062,C225051,Clothing,4,1200.32,12-08-2022,Kanyon
254,I353329,C635016,Toys,2,71.68,18-09-2022,Metrocity
255,I321920,C165705,Clothing,4,1200.32,08-06-2021,Mall of Istanbul
256,I176115,C709571,Cosmetics,4,162.64,30-08-2021,Viaport Outlet
257,I251743,C851508,Toys,3,107.52,19-06-2022,Kanyon
258,I964173,C184126,Clothing,3,900.24,15-12-2022,Emaar Square Mall
259,I334389,C233642,Cosmetics,2,81.32,29-12-2021,Mall of Istanbul
260,I251855,C258410,Cosmetics,3,121.98,19-06-2022,Cevahir AVM
261,I985808,C270667,Books,5,75.75,16-06-2021,Emaar Square Mall
262,I224565,C321527,Shoes,1,600.17,07-02-2021,Emaar Square Mall
263,I239703,C109489,Food & Beverage,3,15.69,17-01-2023,Kanyon
264,I156413,C103824,Cosmetics,5,203.3,20-01-2022,Metrocity
265,I158683,C126571,Souvenir,2,23.46,31-07-2022,Metrocity
266,I983860,C169676,Shoes,1,600.17,30-09-2021,Metropol AVM
267,I119809,C321889,Food & Beverage,1,5.23,06-04-2022,Zorlu Center
268,I319942,C212128,Cosmetics,5,203.3,14-11-2022,Mall of Istanbul
269,I133278,C301271,Clothing,3,900.24,24-02-2021,Metrocity
270,I252084,C221995,Souvenir,4,46.92,25-05-2021,Metrocity
271,I182889,C318802,Clothing,2,600.16,22-03-2021,Metrocity
272,I106271,C263812,Clothing,1,300.08,22-12-2022,Mall of Istanbul
273,I112481,C321609,Food & Beverage,5,26.15,07-07-2021,Cevahir AVM
274,I240751,C666013,Food & Beverage,1,5.23,18-09-2021,Kanyon
275,I282789,C172185,Cosmetics,2,81.32,18-02-2022,Istinye Park
276,I676291,C150463,Food & Beverage,2,10.46,13-06-2021,Metropol AVM
277,I827069,C274529,Toys,5,179.2,30-05-2021,Mall of Istanbul
278,I242823,C242659,Clothing,4,1200.32,26-03-2021,Metropol AVM
279,I208631,C194451,Technology,2,2100.0,27-07-2022,Kanyon
280,I139308,C252600,Souvenir,2,23.46,06-04-2022,Emaar Square Mall
281,I177201,C309645,Clothing,5,1500.4,04-02-2022,Forum Istanbul
282,I263818,C336232,Souvenir,4,46.92,26-06-2022,Zorlu Center
283,I174966,C325906,Food & Beverage,5,26.15,25-07-2022,Mall of Istanbul
284,I186896,C138755,Toys,1,35.84,19-09-2021,Zorlu Center
285,I207465,C296745,Clothing,2,600.16,10-10-2022,Istinye Park
286,I191148,C221838,Technology,2,2100.0,29-03-2022,Forum Istanbul
287,I159487,C104985,Clothing,1,300.08,09-07-2021,Emaar Square Mall
288,I215141,C826514,Souvenir,1,11.73,25-01-2022,Kanyon
289,I235828,C267333,Books,5,75.75,14-12-2021,Metrocity
290,I281274,C130479,Clothing,1,300.08,04-09-2022,Kanyon
291,I135898,C310108,Toys,2,71.68,14-08-2022,Metropol AVM
292,I943072,C358486,Cosmetics,2,81.32,03-02-2022,Metrocity
293,I142738,C208738,Clothing,4,1200.32,03-01-2021,Kanyon
294,I304665,C111056,Food & Beverage,5,26.15,05-12-2021,Metropol AVM
295,I133240,C999586,Toys,3,107.52,14-06-2022,Zorlu Center
296,I215906,C296862,Clothing,4,1200.32,13-08-2021,Mall of Istanbul
297,I247747,C101550,Shoes,2,1200.34,11-01-2022,Istinye Park
298,I227154,C278142,Cosmetics,3,121.98,22-12-2021,Kanyon
299,I133197,C330779,Cosmetics,2,81.32,04-02-2021,Forum Istanbul
300,I542618,C282968,Cosmetics,3,121.98,22-02-2022,Emaar Square Mall
301,I522612,C852668,Toys,3,107.52,14-09-2021,Kanyon
302,I336817,C274936,Clothing,1,300.08,03-08-2021,Cevahir AVM
303,I216982,C269751,Souvenir,4,46.92,02-01-2023,Metrocity
304,I317443,C136051,Toys,1,35.84,23-11-2022,Mall of Istanbul
305,I115679,C266462,Clothing,1,300.08,10-01-2023,Kanyon
306,I227707,C329163,Shoes,4,2400.68,10-01-2022,Viaport Outlet
307,I238456,C305398,Food & Beverage,1,5.23,06-08-2022,Kanyon
308,I940840,C267961,Cosmetics,2,81.32,19-02-2023,Istinye Park
309,I298805,C101248,Food & Beverage,3,15.69,29-06-2021,Kanyon
310,I169894,C165812,Clothing,2,600.16,01-07-2021,Istinye Park
311,I183571,C339518,Food & Beverage,1,5.23,07-02-2022,Metrocity
312,I921232,C235057,Toys,2,71.68,10-10-2021,Cevahir AVM
313,I130799,C103944,Clothing,3,900.24,30-06-2021,Metrocity
314,I199384,C260889,Books,4,60.6,24-03-2022,Kanyon
315,I300557,C207753,Cosmetics,3,121.98,17-09-2022,Istinye Park
316,I162186,C204154,Cosmetics,2,81.32,31-07-2021,Istinye Park
317,I299125,C290344,Souvenir,4,46.92,21-11-2022,Kanyon
318,I720017,C730395,Food & Beverage,2,10.46,04-09-2022,Kanyon
319,I293086,C312155,Cosmetics,3,121.98,18-02-2021,Kanyon
320,I995407,C259743,Souvenir,3,35.19,21-03-2021,Metropol AVM
321,I306845,C605200,Food & Beverage,4,20.92,02-09-2022,Mall of Istanbul
322,I274190,C317850,Toys,3,107.52,16-06-2021,Metropol AVM
323,I305432,C986860,Toys,3,107.52,26-01-2023,Mall of Istanbul
324,I224122,C236428,Clothing,5,1500.4,01-07-2022,Mall of Istanbul
325,I119142,C278588,Cosmetics,5,203.3,25-01-2023,Cevahir AVM
326,I117526,C154184,Cosmetics,5,203.3,23-09-2022,Emaar Square Mall
327,I195735,C287459,Clothing,1,300.08,08-09-2021,Kanyon
328,I243930,C617884,Technology,3,3150.0,31-10-2022,Istinye Park
329,I320007,C294024,Clothing,5,1500.4,18-10-2021,Metrocity
330,I339004,C790567,Clothing,4,1200.32,15-07-2022,Mall of Istanbul
331,I139437,C799447,Souvenir,5,58.65,31-05-2021,Mall of Istanbul
332,I325491,C144628,Shoes,2,1200.34,22-12-2021,Kanyon
333,I332582,C260810,Souvenir,5,58.65,28-10-2022,Metropol AVM
334,I976566,C670524,Cosmetics,1,40.66,13-06-2021,Forum Istanbul
335,I420592,C334281,Food & Beverage,4,20.92,25-09-2022,Kanyon
336,I312499,C314173,Books,1,15.15,18-08-2021,Mall of Istanbul
337,I304591,C122712,Food & Beverage,2,10.46,16-09-2021,Kanyon
338,I122118,C276111,Cosmetics,5,203.3,15-11-2022,Metrocity
339,I297539,C277924,Food & Beverage,3,15.69,07-08-2021,Mall of Istanbul
340,I339496,C286466,Clothing,1,300.08,25-05-2021,Metropol AVM
341,I160687,C327001,Clothing,2,600.16,12-07-2022,Istinye Park
342,I153842,C509924,Food & Beverage,3,15.69,14-09-2022,Forum Istanbul
343,I615452,C453635,Shoes,1,600.17,06-03-2022,Metrocity
344,I908600,C259539,Cosmetics,4,162.64,23-02-2023,Forum Istanbul
345,I708279,C729392,Cosmetics,3,121.98,25-06-2021,Emaar Square Mall
346,I328691,C280085,Clothing,2,600.16,31-07-2022,Metrocity
347,I423782,C767634,Cosmetics,2,81.32,08-04-2021,Mall of Istanbul
348,I123315,C230018,Clothing,2,600.16,01-04-2021,Zorlu Center
349,I182578,C238063,Shoes,4,2400.68,13-02-2022,Kanyon
350,I403818,C308584,Books,5,75.75,15-06-2022,Viaport Outlet
351,I508712,C216619,Toys,3,107.52,19-07-2022,Mall of Istanbul
352,I959992,C241523,Food & Beverage,3,15.69,01-07-2022,Metrocity
353,I279688,C209761,Clothing,1,300.08,19-06-2021,Cevahir AVM
354,I300847,C329153,Toys,5,179.2,11-01-2022,Istinye Park
355,I170966,C126702,Food & Beverage,5,26.15,05-12-2022,Istinye Park
356,I230221,C287787,Clothing,1,300.08,21-04-2021,Metropol AVM
357,I317354,C142943,Clothing,1,300.08,10-11-2021,Metropol AVM
358,I155404,C100484,Toys,4,143.36,19-09-2022,Metrocity
359,I151181,C260213,Clothing,2,600.16,18-01-2021,Emaar Square Mall
360,I144046,C210589,Shoes,1,600.17,21-04-2022,Kanyon
361,I959386,C885556,Shoes,1,600.17,25-11-2022,Mall of Istanbul
362,I737965,C944366,Clothing,5,1500.4,09-11-2022,Kanyon
363,I194017,C462011,Technology,5,5250.0,03-01-2022,Kanyon
364,I252777,C262366,Clothing,2,600.16,19-02-2022,Zorlu Center
365,I254142,C212400,Shoes,3,1800.51,15-12-2022,Emaar Square Mall
366,I120850,C204307,Clothing,2,600.16,08-11-2021,Metrocity
367,I220285,C162871,Food & Beverage,4,20.92,01-05-2022,Kanyon
368,I180980,C119825,Clothing,2,600.16,14-04-2021,Forum Istanbul
369,I301451,C260171,Cosmetics,5,203.3,28-06-2021,Kanyon
370,I125700,C244973,Shoes,5,3000.85,10-06-2022,Forum Istanbul
371,I533062,C208765,Clothing,3,900.24,12-05-2022,Mall of Istanbul
372,I998874,C321053,Clothing,5,1500.4,27-12-2022,Mall of Istanbul
373,I325619,C183356,Food & Beverage,1,5.23,16-08-2021,Kanyon
374,I200646,C155763,Food & Beverage,2,10.46,05-03-2021,Kanyon
375,I337094,C567509,Technology,1,1050.0,09-02-2023,Zorlu Center
376,I436935,C486241,Cosmetics,4,162.64,26-02-2023,Istinye Park
377,I585560,C306892,Shoes,2,1200.34,17-02-2023,Mall of Istanbul
378,I191967,C266819,Cosmetics,5,203.3,08-08-2022,Kanyon
379,I304567,C317897,Souvenir,2,23.46,08-03-2023,Forum Istanbul
